,title,price,link
10,"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/FPR/Arctic Grey/1Y Onsite + Premier Support/1.38Kg), 21KG00AFIN  ","43,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDMzMDEwOTQ3NTY3MzQ2OjE3MzIwMzQ1Mjg6c3BfYnRmOjMwMDMxNDM4ODI2OTUzMjo6MDo6&url=%2FLenovo-ThinkBook-35-56cm-Antiglare-21KG00AFIN%2Fdp%2FB0CQRK9JBC%2Fref%3Dsr_1_85_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034528%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,"Apple 2024 MacBook Air 13â€³ Laptop with M3 chip: 34.46 cm (13.6â€³) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Space Grey  ","1,34,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDMzMDEwOTQ3NTY3MzQ2OjE3MzIwMzQ1Mjg6c3BfYnRmOjMwMDM1MDY5ODMxMjYzMjo6MDo6&url=%2FApple-2024-MacBook-Laptop-chip%2Fdp%2FB0CX21J15D%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.GAxaxdVEnGIFnDC6HB3LSx8iHv0CR7xo_GwL2t13wki6AYYjwhoEIypuWEcWhd3BMJPacxJHY3N80oD_18nqq9n-F14n5lBYboTDXrz8bDRkwhWd0q46b1CZQaEtiw0mrssO4RORYjAvVaBabDhtEORgJBf1Ni539DDpJKZP9flDDpllvcdzAk2lKda8J7-R88gmJjZ2tR_BwKmCgfWiiqUJZycGotv3tv0ZNT5Nm2Q.C7aUGHjBG88fQ-vWpPKKBYjmrCzOkSAZQTgujmZPjoM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034528%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN  ","54,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NzAyMjYyODkzNzMyMzExOjE3MzIwMzQ1MTE6c3BfbXRmOjMwMDI0NjA4OTY2MDczMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.gZoZh4KP_9xAMP4BMWxHmkbOlf6_ck-voh6UnfZnbkzW21vH1RhQwc0znbcJTQiC4kf5fpmq-jARJV-4Iw9IsD6tbtsNxIxmoTILXiShQCEm8kRVz512NP_9tbGlmguv5VVzuW5K8WhkVBbsi7bGP34pKQDh1yalKb5KS1nHwPdoYg9nQWvQdgfkVClzytlyZXce0xeNXpHUJrkpjI5cVog3L_-YXkEz2P6TbBM53ds.BMYd6c19-G04ZuBSP0PxfrtiguYcP6-zIdRXkjyKTPs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034510%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"Apple 2024 MacBook Pro Laptop with M4 chip with 10â€‘core CPU and 10â€‘core GPU: Built for Apple Intelligence, 35.97 cm (14.2â€³) Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage; Silver  ","1,69,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDE0MTQ0MzcyODIxNzg2OjE3MzIwMzQ1MzI6c3BfYXRmX25leHQ6MzAwMzkyOTYzMzI5NzMyOjowOjo&url=%2FApple-2024-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0DLHNB9MY%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034532%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
14,"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.77 kg), 21JNS0QD00  ","49,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NDE0MTQ0MzcyODIxNzg2OjE3MzIwMzQ1MzI6c3BfYXRmX25leHQ6MzAwMzE0Mzg4MjY5NDMyOjowOjo&url=%2FLenovo-ThinkPad-Laptop-Windows-21JNS0QD00%2Fdp%2FB0D4YL7FM9%2Fref%3Dsr_1_82_sspa%3Fcrid%3D2PE3NWMB9DUYX%26dib%3DeyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732034532%26sprefix%3Dlaptops%252Caps%252C111%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"HP 15s Intel Core i3 12th Gen (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) / Silver / 1.69 kg/Dual Speakers) fq5326TU / Laptop  ","35,990",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_83?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I&dib_tag=se&keywords=laptop&qid=1732034532&sprefix=laptops%2Caps%2C111&sr=8-83
16,"HP Victus Windows 11 Home Gaming Laptop,AMD Ryzen 7 7840Hs Ai Powered,6Gb RTX 3050 Gpu,16.1-Inch (40.9 Cm),95W Tgp,Fhd,IPS,144Hz,16Gb Ddr5,1Tb Ssd,RGB Backlit Kb,B&O (Mso,Blue,2.29 Kg),S0089Ax  ","81,990",https://amazon.in//HP-Powered-16-1-inch-Backlit-s0089AX/dp/B0CNR7KRSC/ref=sr_1_84?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I&dib_tag=se&keywords=laptop&qid=1732034532&sprefix=laptops%2Caps%2C111&sr=8-84
17,"Acer One (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop (14 Inch, Silver, 1.49 Kg)  ","28,990",https://amazon.in//Acer-Intel-Core-11th-1115G4/dp/B0DBLVJXC5/ref=sr_1_85?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I&dib_tag=se&keywords=laptop&qid=1732034532&sprefix=laptops%2Caps%2C111&sr=8-85
18,"Lenovo Ideapad Slim 5 Ryzen 7 7730U 14"" (35.5Cm) Wuxga OLED AMD Laptop (16Gb/1Tb Ssd/Win 11/Office 2021/Backlit Kb/Fhd Camera/Alexa/3 Month Game Pass/1Yr ADP Free/Arctic Grey/1.46Kg), 82Xe007Ein  ","65,390",https://amazon.in//Lenovo-Ideapad-35-5Cm-Backlit-82Xe007Ein/dp/B0D1KF34VD/ref=sr_1_86?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I&dib_tag=se&keywords=laptop&qid=1732034532&sprefix=laptops%2Caps%2C111&sr=8-86
19,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VWIN  ","34,280",https://amazon.in//Lenovo-IdeaPad-39-62cm-Windows-82RK00VWIN/dp/B0CR7WG86N/ref=sr_1_87?crid=2PE3NWMB9DUYX&dib=eyJ2IjoiMSJ9.dO29c_DXUiIR775hZWjT26TlErzKeixmkqwyQ_w2_W6f16EODn9Hffmc1AJWsyNIEuSQa29yDlRbejT9o9wD4Vy4DsPUgMchsh41fHiaz-Yb-M1j1Y44WZktg9X2AJ6HmQRTxx-Qg_HUPXdM9aqh35Hd5POU5rg-RwllYVnCctcmBG7k8tlTbqpojxm8_NVid7Lc_FNGAVXeWqPZBT1k1QyIl9ZM-8x43kFxNtEGKHU.1lSb2my8RsIWbtWYez77TS4xemsVQtIigkp5rGf9L4I&dib_tag=se&keywords=laptop&qid=1732034532&sprefix=laptops%2Caps%2C111&sr=8-87
